8b82c96c6de5739a6a1979b634711087bfb1d3290001 Kenh_Hai web 8866phatnh9707951kenh_hai_web 12345 "Laravel" "Hoat Hinh" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) coc_coc_browser/75.4.124 Chrome/69.4.3497.124 Safari/537.36" "undefined" 1.1.1.1 192.168.1.18 2019-1-18T0:7:54Z 3g 4.55 3 0 1 2 0.136 120 23 0.303 -1 
8b82c96c6de5739a6a1979b634711087bfb1d3290001 Kenh_Hai web 8866phatnh8477731kenh_hai_web 12345 "Laravel" "Hoat Hinh" "Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36" "undefined" 58.187.21.20 192.168.1.13 2019-1-18T0:9:58Z 4g 1.55 0 0 0 7 2.455 120 121 0 -1 
8b82c96c6de5739a6a1979b634711087bfb1d3290001 Kenh_Hai web 8866phatnh9707951kenh_hai_web 12345 "Laravel" "Hoat Hinh" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) coc_coc_browser/75.4.124 Chrome/69.4.3497.124 Safari/537.36" "undefined" 1.1.1.1 192.168.1.18 2019-1-18T0:9:57Z 3g 7.3 0 0 0 4 0 120 121 0 -1 
8b82c96c6de5739a6a1979b634711087bfb1d3290001 Kenh_Hai web 8866phatnh9707951kenh_hai_web 12345 "Laravel" "Hoat Hinh" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) coc_coc_browser/75.4.124 Chrome/69.4.3497.124 Safari/537.36" "undefined" 1.1.1.1 192.168.1.18 2019-1-18T0:11:34Z 3g 7.3 0 0 0 0 0 120 11 0 -1 
8b82c96c6de5739a6a1979b634711087bfb1d3290001 Kenh_Hai web 8866phatnh9707951kenh_hai_web 12345 "Laravel" "Hoat Hinh" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) coc_coc_browser/75.4.124 Chrome/69.4.3497.124 Safari/537.36" "undefined" 1.1.1.1 192.168.1.18 2019-1-18T0:11:44Z 3g 7.3 0 0 0 0 0 120 21 0 -1 
8b82c96c6de5739a6a1979b634711087bfb1d3290001 Kenh_Hai web 8866phatnh9707951kenh_hai_web 12345 "Laravel" "Hoat Hinh" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) coc_coc_browser/75.4.124 Chrome/69.4.3497.124 Safari/537.36" "undefined" 1.1.1.1 192.168.1.18 2019-1-18T0:11:54Z 3g 7.3 0 0 0 0 0 120 31 0 -1 
8b82c96c6de5739a6a1979b634711087bfb1d3290001 Kenh_Hai web 8866phatnh9707951kenh_hai_web 12345 "Laravel" "Hoat Hinh" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) coc_coc_browser/75.4.124 Chrome/69.4.3497.124 Safari/537.36" "undefined" 1.1.1.1 192.168.1.18 2019-1-18T0:13:14Z 4g 7.3 0 0 0 5 0 120 121 0 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1301 "Sướng như..... Cướp! " "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:31:14Z WIFI 0 0 1 1 0 0.36 385 0 0.36 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:31:14Z WIFI 0 0 0 2 0 0.47 615 0 0.47 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:31:24Z WIFI 0.56 0 0 2 0 0.47 615 9.898 0.74 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:31:34Z WIFI 0.65 0 0 2 0 0.47 615 19.898 0.74 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:31:44Z WIFI 0.84 0 0 2 0 0.47 615 29.899 0.74 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:31:54Z WIFI 1.06 0 0 2 0 0.47 615 39.898 0.74 -1 
